RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11680,강남구,10800,논현동,1,대지,0225,0006,논현 아이파크,2025-04-01,44600,27.56,40.1879,9.0,,,2020,오피스텔,중개거래,서울 강남구
2025,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,2025-04-01,184000,71.37,0.0,12.0,,,1987,아파트,중개거래,서울 양천구
2025,11290,성북구,13800,장위동,1,대지,0238,0129,해담채,2025-04-01,37500,43.01,26.0,4.0,,,2017,연립다세대,중개거래,서울 성북구
2025,11500,강서구,10500,마곡동,1,대지,0773,0003,힐스테이트에코동익,2025-04-01,20000,24.57,35.004,14.0,,,2017,오피스텔,중개거래,서울 강서구
2025,11560,영등포구,11000,여의도동,1,대지,0525,0000,브라이튼여의도,2025-04-01,405600,101.95,0.0,33.0,,,2023,아파트,직거래,
2025,11440,마포구,11100,신수동,1,대지,0462,0000,신촌숲아이파크,2025-04-01,169000,59.751,0.0,14.0,,,2019,아파트,중개거래,서울 마포구
2025,11410,서대문구,12000,남가좌동,1,대지,0385,0000,DMC파크뷰자이1단지,2025-03-31,165000,120.006,0.0,9.0,,,2015,아파트,중개거래,서울 서대문구
2025,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,2025-03-31,142500,53.82,0.0,5.0,,,1987,아파트,중개거래,"경기 성남시 분당구, 서울 양천구"
2025,11530,구로구,10200,구로동,1,대지,0103,0006,구로 오네뜨 시티,2025-03-31,16000,21.39,30.55,9.0,,,2022,오피스텔,직거래,
2025,11230,동대문구,10800,회기동,1,대지,0103,0262,노블레스,2025-03-31,46200,50.86,40.0,4.0,,,2024,연립다세대,직거래,
2025,11380,은평구,10400,갈현동,1,대지,0504,0011,고려베스트빌,2025-03-31,18000,37.75,19.0,4.0,,,2002,연립다세대,중개거래,서울 은평구
2025,11470,양천구,10100,신정동,1,대지,0329,0000,목동신시가지14,2025-03-31,193000,83.89,0.0,9.0,,,1987,아파트,중개거래,서울 양천구
2025,11530,구로구,10700,개봉동,1,대지,0320,0007,금강빌리지,2025-03-31,26500,61.54,30.0,3.0,,,2002,연립다세대,중개거래,서울 구로구
2025,11530,구로구,10200,구로동,1,대지,0685,0070,현대연예인,2025-03-31,53900,54.86,0.0,8.0,,,1989,아파트,중개거래,서울 구로구
